chapter,en_path,ko_path,ko_exists,en_estimated_keys,ko_estimated_keys,shared_estimated_keys,missing_in_ko_estimated,ko_only_estimated
eternal_starlight,config/ftbquests/quests/lang/en_us/chapters/eternal_starlight.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/eternal_starlight.snbt_merged,True,129,131,129,0,2
evilcraft,config/ftbquests/quests/lang/en_us/chapters/evilcraft.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/evilcraft.snbt_merged,True,79,76,76,3,0
extended__advanced_ae,config/ftbquests/quests/lang/en_us/chapters/extended__advanced_ae.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/extended__advanced_ae.snbt_merged,False,91,0,0,91,0
extreme_reactors,config/ftbquests/quests/lang/en_us/chapters/extreme_reactors.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/extreme_reactors.snbt_merged,True,70,70,70,0,0
food_and_farming,config/ftbquests/quests/lang/en_us/chapters/food_and_farming.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/food_and_farming.snbt_merged,True,92,92,92,0,0
forbidden__arcanus,config/ftbquests/quests/lang/en_us/chapters/forbidden__arcanus.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/forbidden__arcanus.snbt_merged,True,123,116,116,7,0
generators,config/ftbquests/quests/lang/en_us/chapters/generators.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/generators.snbt_merged,True,95,95,95,0,0
hostile_neural_networks,config/ftbquests/quests/lang/en_us/chapters/hostile_neural_networks.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/hostile_neural_networks.snbt_merged,True,23,23,23,0,0
ice__fire,config/ftbquests/quests/lang/en_us/chapters/ice__fire.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/ice__fire.snbt_merged,False,173,0,0,173,0
immersive_engineering,config/ftbquests/quests/lang/en_us/chapters/immersive_engineering.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/immersive_engineering.snbt_merged,True,245,245,245,0,0
industrial_foregoing,config/ftbquests/quests/lang/en_us/chapters/industrial_foregoing.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/industrial_foregoing.snbt_merged,True,107,54,54,53,0
integrated_dynamics,config/ftbquests/quests/lang/en_us/chapters/integrated_dynamics.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/integrated_dynamics.snbt_merged,True,54,54,54,0,0
iron_spells_and_spellbooks,config/ftbquests/quests/lang/en_us/chapters/iron_spells_and_spellbooks.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/iron_spells_and_spellbooks.snbt_merged,True,194,132,132,62,0
justdirethings,config/ftbquests/quests/lang/en_us/chapters/justdirethings.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/justdirethings.snbt_merged,True,165,145,145,20,0
mahou_tsukai,config/ftbquests/quests/lang/en_us/chapters/mahou_tsukai.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mahou_tsukai.snbt_merged,True,70,70,70,0,0
mainquestline_part_1,config/ftbquests/quests/lang/en_us/chapters/mainquestline_part_1.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mainquestline_part_1.snbt_merged,True,87,87,87,0,0
mekanism,config/ftbquests/quests/lang/en_us/chapters/mekanism.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mekanism.snbt_merged,True,235,47,47,188,0
mekanism_reactors,config/ftbquests/quests/lang/en_us/chapters/mekanism_reactors.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mekanism_reactors.snbt_merged,True,251,6,5,246,1
mi_digital,config/ftbquests/quests/lang/en_us/chapters/mi_digital.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mi_digital.snbt_merged,False,60,0,0,60,0
mi_electric,config/ftbquests/quests/lang/en_us/chapters/mi_electric.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mi_electric.snbt_merged,False,73,0,0,73,0
mi_endgame,config/ftbquests/quests/lang/en_us/chapters/mi_endgame.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mi_endgame.snbt_merged,False,11,0,0,11,0
mi_steam,config/ftbquests/quests/lang/en_us/chapters/mi_steam.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/mi_steam.snbt_merged,False,39,0,0,39,0
modular_router,config/ftbquests/quests/lang/en_us/chapters/modular_router.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/modular_router.snbt_merged,True,66,66,66,0,0
natures_aura,config/ftbquests/quests/lang/en_us/chapters/natures_aura.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/natures_aura.snbt_merged,True,64,64,64,0,0
occultism,config/ftbquests/quests/lang/en_us/chapters/occultism.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/occultism.snbt_merged,True,162,146,145,17,1
oritech,config/ftbquests/quests/lang/en_us/chapters/oritech.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/oritech.snbt_merged,False,85,0,0,85,0
pneumaticcraft,config/ftbquests/quests/lang/en_us/chapters/pneumaticcraft.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/pneumaticcraft.snbt_merged,True,279,279,279,0,0
powah,config/ftbquests/quests/lang/en_us/chapters/powah.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/powah.snbt_merged,True,40,40,40,0,0
productive_bees,config/ftbquests/quests/lang/en_us/chapters/productive_bees.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/productive_bees.snbt_merged,True,566,298,295,271,3
productive_trees,config/ftbquests/quests/lang/en_us/chapters/productive_trees.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/productive_trees.snbt_merged,True,185,184,184,1,0
pylons,config/ftbquests/quests/lang/en_us/chapters/pylons.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/pylons.snbt_merged,True,18,18,18,0,0
railcraft,config/ftbquests/quests/lang/en_us/chapters/railcraft.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/railcraft.snbt_merged,True,117,117,117,0,0
refined_storage,config/ftbquests/quests/lang/en_us/chapters/refined_storage.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/refined_storage.snbt_merged,False,145,0,0,145,0
relics,config/ftbquests/quests/lang/en_us/chapters/relics.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/relics.snbt_merged,True,64,85,58,6,27
silent_gear,config/ftbquests/quests/lang/en_us/chapters/silent_gear.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/silent_gear.snbt_merged,True,80,58,58,22,0
storage,config/ftbquests/quests/lang/en_us/chapters/storage.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/storage.snbt_merged,True,164,164,164,0,0
theurgy,config/ftbquests/quests/lang/en_us/chapters/theurgy.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/theurgy.snbt_merged,True,87,87,87,0,0
tips_and_tricks,config/ftbquests/quests/lang/en_us/chapters/tips_and_tricks.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/tips_and_tricks.snbt_merged,True,63,52,52,11,0
twilight_forest,config/ftbquests/quests/lang/en_us/chapters/twilight_forest.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/twilight_forest.snbt_merged,True,123,123,123,0,0
undergarden,config/ftbquests/quests/lang/en_us/chapters/undergarden.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/undergarden.snbt_merged,True,128,125,125,3,0
welcome,config/ftbquests/quests/lang/en_us/chapters/welcome.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/welcome.snbt_merged,True,13,13,13,0,0
xycraft,config/ftbquests/quests/lang/en_us/chapters/xycraft.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/xycraft.snbt_merged,True,55,55,55,0,0
