chapter,en_path,ko_path,ko_exists,en_estimated_keys,ko_estimated_keys,shared_estimated_keys,missing_in_ko_estimated,ko_only_estimated
evilcraft,config/ftbquests/quests/lang/en_us/chapters/evilcraft.snbt,config/ftbquests/quests/lang/ko_kr/chapters/evilcraft.snbt,True,78,76,76,2,0
extended__advanced_ae,config/ftbquests/quests/lang/en_us/chapters/extended__advanced_ae.snbt,config/ftbquests/quests/lang/ko_kr/chapters/extended__advanced_ae.snbt,False,91,0,0,91,0
extreme_reactors,config/ftbquests/quests/lang/en_us/chapters/extreme_reactors.snbt,config/ftbquests/quests/lang/ko_kr/chapters/extreme_reactors.snbt,True,70,70,70,0,0
food_and_farming,config/ftbquests/quests/lang/en_us/chapters/food_and_farming.snbt,config/ftbquests/quests/lang/ko_kr/chapters/food_and_farming.snbt,True,92,92,92,0,0
forbidden__arcanus,config/ftbquests/quests/lang/en_us/chapters/forbidden__arcanus.snbt,config/ftbquests/quests/lang/ko_kr/chapters/forbidden__arcanus.snbt,True,122,116,116,6,0
generators,config/ftbquests/quests/lang/en_us/chapters/generators.snbt,config/ftbquests/quests/lang/ko_kr/chapters/generators.snbt,True,95,95,95,0,0
hostile_neural_networks,config/ftbquests/quests/lang/en_us/chapters/hostile_neural_networks.snbt,config/ftbquests/quests/lang/ko_kr/chapters/hostile_neural_networks.snbt,True,28,23,23,5,0
ice__fire,config/ftbquests/quests/lang/en_us/chapters/ice__fire.snbt,config/ftbquests/quests/lang/ko_kr/chapters/ice__fire.snbt,False,173,0,0,173,0
immersive_engineering,config/ftbquests/quests/lang/en_us/chapters/immersive_engineering.snbt,config/ftbquests/quests/lang/ko_kr/chapters/immersive_engineering.snbt,True,245,245,245,0,0
industrial_foregoing,config/ftbquests/quests/lang/en_us/chapters/industrial_foregoing.snbt,config/ftbquests/quests/lang/ko_kr/chapters/industrial_foregoing.snbt,True,106,54,53,53,1
integrated_dynamics,config/ftbquests/quests/lang/en_us/chapters/integrated_dynamics.snbt,config/ftbquests/quests/lang/ko_kr/chapters/integrated_dynamics.snbt,True,54,54,54,0,0
iron_spells_and_spellbooks,config/ftbquests/quests/lang/en_us/chapters/iron_spells_and_spellbooks.snbt,config/ftbquests/quests/lang/ko_kr/chapters/iron_spells_and_spellbooks.snbt,True,213,132,132,81,0
justdirethings,config/ftbquests/quests/lang/en_us/chapters/justdirethings.snbt,config/ftbquests/quests/lang/ko_kr/chapters/justdirethings.snbt,True,165,145,145,20,0
mahou_tsukai,config/ftbquests/quests/lang/en_us/chapters/mahou_tsukai.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mahou_tsukai.snbt,True,70,70,70,0,0
mainquestline_part_1,config/ftbquests/quests/lang/en_us/chapters/mainquestline_part_1.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mainquestline_part_1.snbt,True,87,87,87,0,0
mekanism,config/ftbquests/quests/lang/en_us/chapters/mekanism.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mekanism.snbt,True,235,47,47,188,0
mekanism_reactors,config/ftbquests/quests/lang/en_us/chapters/mekanism_reactors.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mekanism_reactors.snbt,True,233,6,5,228,1
mi_digital,config/ftbquests/quests/lang/en_us/chapters/mi_digital.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mi_digital.snbt,False,60,0,0,60,0
mi_electric,config/ftbquests/quests/lang/en_us/chapters/mi_electric.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mi_electric.snbt,False,73,0,0,73,0
mi_endgame,config/ftbquests/quests/lang/en_us/chapters/mi_endgame.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mi_endgame.snbt,False,11,0,0,11,0
mi_steam,config/ftbquests/quests/lang/en_us/chapters/mi_steam.snbt,config/ftbquests/quests/lang/ko_kr/chapters/mi_steam.snbt,False,39,0,0,39,0
modular_router,config/ftbquests/quests/lang/en_us/chapters/modular_router.snbt,config/ftbquests/quests/lang/ko_kr/chapters/modular_router.snbt,True,66,66,66,0,0
natures_aura,config/ftbquests/quests/lang/en_us/chapters/natures_aura.snbt,config/ftbquests/quests/lang/ko_kr/chapters/natures_aura.snbt,True,64,64,64,0,0
neo_vitae,config/ftbquests/quests/lang/en_us/chapters/neo_vitae.snbt,config/ftbquests/quests/lang/ko_kr/chapters/neo_vitae.snbt,False,105,0,0,105,0
occultism,config/ftbquests/quests/lang/en_us/chapters/occultism.snbt,config/ftbquests/quests/lang/ko_kr/chapters/occultism.snbt,True,164,146,145,19,1
oritech,config/ftbquests/quests/lang/en_us/chapters/oritech.snbt,config/ftbquests/quests/lang/ko_kr/chapters/oritech.snbt,False,85,0,0,85,0
pneumaticcraft,config/ftbquests/quests/lang/en_us/chapters/pneumaticcraft.snbt,config/ftbquests/quests/lang/ko_kr/chapters/pneumaticcraft.snbt,True,279,279,279,0,0
powah,config/ftbquests/quests/lang/en_us/chapters/powah.snbt,config/ftbquests/quests/lang/ko_kr/chapters/powah.snbt,True,40,40,40,0,0
productive_bees,config/ftbquests/quests/lang/en_us/chapters/productive_bees.snbt,config/ftbquests/quests/lang/ko_kr/chapters/productive_bees.snbt,True,564,298,295,269,3
productive_trees,config/ftbquests/quests/lang/en_us/chapters/productive_trees.snbt,config/ftbquests/quests/lang/ko_kr/chapters/productive_trees.snbt,True,185,184,184,1,0
pylons,config/ftbquests/quests/lang/en_us/chapters/pylons.snbt,config/ftbquests/quests/lang/ko_kr/chapters/pylons.snbt,True,21,18,18,3,0
railcraft,config/ftbquests/quests/lang/en_us/chapters/railcraft.snbt,config/ftbquests/quests/lang/ko_kr/chapters/railcraft.snbt,True,117,117,117,0,0
refined_storage,config/ftbquests/quests/lang/en_us/chapters/refined_storage.snbt,config/ftbquests/quests/lang/ko_kr/chapters/refined_storage.snbt,False,126,0,0,126,0
relics,config/ftbquests/quests/lang/en_us/chapters/relics.snbt,config/ftbquests/quests/lang/ko_kr/chapters/relics.snbt,True,85,85,58,27,27
silent_gear,config/ftbquests/quests/lang/en_us/chapters/silent_gear.snbt,config/ftbquests/quests/lang/ko_kr/chapters/silent_gear.snbt,True,80,58,58,22,0
storage,config/ftbquests/quests/lang/en_us/chapters/storage.snbt,config/ftbquests/quests/lang/ko_kr/chapters/storage.snbt,True,164,164,164,0,0
theurgy,config/ftbquests/quests/lang/en_us/chapters/theurgy.snbt,config/ftbquests/quests/lang/ko_kr/chapters/theurgy.snbt,True,87,87,87,0,0
tips_and_tricks,config/ftbquests/quests/lang/en_us/chapters/tips_and_tricks.snbt,config/ftbquests/quests/lang/ko_kr/chapters/tips_and_tricks.snbt,True,62,52,52,10,0
twilight_forest,config/ftbquests/quests/lang/en_us/chapters/twilight_forest.snbt,config/ftbquests/quests/lang/ko_kr/chapters/twilight_forest.snbt,True,123,123,123,0,0
undergarden,config/ftbquests/quests/lang/en_us/chapters/undergarden.snbt,config/ftbquests/quests/lang/ko_kr/chapters/undergarden.snbt,True,149,125,125,24,0
welcome,config/ftbquests/quests/lang/en_us/chapters/welcome.snbt,config/ftbquests/quests/lang/ko_kr/chapters/welcome.snbt,True,13,13,13,0,0
xycraft,config/ftbquests/quests/lang/en_us/chapters/xycraft.snbt,config/ftbquests/quests/lang/ko_kr/chapters/xycraft.snbt,True,55,55,55,0,0
